series,timepts
20110125_RW10890_pal-1_L3,271
20110125_RW10890_pal-1_L4,271
20110201_RW10890_pal-1_L4,255
20110201_RW10890_pal-1_L2,255
20110201_RW10890_pal-1_L3,255
20110203_RW10890_pal-1_L1,255
20110203_RW10890_pal-1_L4,255
20110210_RW10890_pal-1_L3,246
20110211_RW10890_pal-1_L2,255
20110215_RW10890_pal-1_L3,255
20110215_RW10890_pal-1_L2,255
20110215_RW10890_pal-1_L1,255
20110218_RW10890_pal-1_L3,255
20110218_RW10890_pal-1_L1,255
20110218_RW10890_pal-1_L4,255
20110223_RW10890_pal-1_L3,255
20110223_RW10890_pal-1_L1,255
20110223_RW10890_pal-1_L4,255
20110421_RW10890_pal-1_L1,248
20110801_RW10890_pal-1_L3,253
20110801_RW10890_pal-1_L4,253
