cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,6780,-18220,954,954,6780,35.5,564,326,82,3091291
ABal:2,ABal,2,6710,-18289,802,802,6710,34.8,579,337,78,3736436
ABala:7,ABala,7,6636,-18363,660,659,6636,30.9,607,294,65,2093685
ABalaa:18,ABalaa,18,6459,-18540,393,392,6459,23.3,625,304,57,1326998
ABalaaa:34,ABalaaa,34,6321,-18678,154,154,6321,24.3,631,320,50,1015052
ABalaaaa:52,ABalaaaa,52,5644,-19355,-77,-76,5644,24.7,609,297,42,527115
ABalaaaal:76,ABalaaaal,76,5254,-19745,-58,-60,5254,34.3,598,354,38,644565
ABalaaaala:106,ABalaaaala,106,4890,-20109,-45,-56,4890,23.5,589,365,33,561005
ABalaaaalal:163,ABalaaaalal,163,4721,-20278,-232,-245,4721,22.0,576,367,28,394971
ABalaaaalar:163,ABalaaaalar,163,4957,-20042,93,99,4957,27.0,589,341,26,324260
ABalaaaalp:106,ABalaaaalp,106,4848,-20151,-35,-22,4848,21.2,567,394,34,554531
ABalaaaalpa:160,ABalaaaalpa,160,4755,-20245,-9,2,4755,22.1,603,371,30,407936
ABalaaaalpp:160,ABalaaaalpp,160,4713,-20286,-97,-102,4713,16.4,577,372,27,253314
ABalaaaar:76,ABalaaaar,76,5319,-19680,-46,-52,5319,32.1,637,313,39,704680
ABalaaaarl:104,ABalaaaarl,104,4987,-20012,-35,-33,4987,26.6,612,334,34,572704
ABalaaaarla:147,ABalaaaarla,147,4862,-20137,51,59,4862,26.5,608,348,30,459751
ABalaaaarlp:147,ABalaaaarlp,147,4793,-20206,-34,-8,4793,25.3,616,315,30,396885
ABalaaaarr:104,ABalaaaarr,104,4963,-20036,18,24,4963,24.2,618,272,34,538025
ABalaaaarra:152,ABalaaaarra,152,4676,-20323,-24,-18,4676,21.2,623,259,30,410536
ABalaaaarrp:152,ABalaaaarrp,152,4787,-20212,29,19,4787,24.0,617,288,29,439266
