cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,8078,-16922,466,468,8078,32.0,528,286,78,2669093
ABa:2,ABa,2,8064,-16936,593,589,8064,36.0,522,272,86,4982731
ABa:3,ABa,3,7437,-17563,33,32,7437,40.0,504,256,78,3064594
ABa:4,ABa,4,7221,-17779,-6,-6,7221,34.0,484,258,66,1950791
ABal:5,ABal,5,7249,-17751,-4,-4,7249,40.0,504,272,54,1207470
ABal:6,ABal,6,7461,-17539,370,370,7461,40.0,520,292,54,1029662
ABal:7,ABal,7,7823,-17177,816,816,7823,38.0,528,308,62,1172757
ABal:8,ABal,8,8252,-16748,1193,1193,8252,40.0,544,318,66,1767081
ABal:9,ABal,9,8518,-16482,1430,1430,8518,41.0,534,304,74,3177118
ABal:10,ABal,10,8088,-16912,1066,1066,8088,46.0,538,294,70,2699244
ABal:11,ABal,11,8028,-16972,968,967,8028,40.0,556,316,74,3071617
ABal:12,ABal,12,7818,-17182,902,896,7818,36.0,564,320,82,5000819
ABal:13,ABal,13,7506,-17494,639,630,7506,33.0,560,326,78,4045332
ABal:14,ABal,14,6830,-18170,88,81,6830,28.0,566,314,90,3044250
ABal:15,ABal,15,6668,-18332,-11,-11,6668,26.0,534,292,62,1249777
ABala:16,ABala,16,6830,-18170,160,160,6830,33.0,558,272,46,614594
ABala:17,ABala,17,7164,-17836,444,444,7164,28.0,560,274,54,637894
ABala:18,ABala,18,7379,-17621,713,713,7379,27.0,570,276,62,894163
ABala:19,ABala,19,7308,-17692,717,717,7308,24.0,572,286,66,1220493
ABala:20,ABala,20,7388,-17612,796,795,7388,23.0,578,288,70,1745777
ABala:21,ABala,21,7466,-17534,911,911,7466,23.0,576,278,70,1978552
ABala:22,ABala,22,7621,-17379,988,993,7621,30.0,580,280,70,2383149
ABala:23,ABala,23,7413,-17587,784,785,7413,26.0,582,278,70,2380351
ABala:24,ABala,24,7395,-17605,734,734,7395,32.0,580,266,66,2146764
ABala:25,ABala,25,7362,-17638,724,725,7362,30.0,572,258,70,2341563
ABala:26,ABala,26,7179,-17821,547,547,7179,27.0,564,254,66,2007289
ABala:27,ABala,27,6566,-18434,-75,-75,6566,26.0,556,250,62,1161266
ABalaa:28,ABalaa,28,6626,-18374,16,17,6626,27.0,576,262,46,497240
ABalaa:29,ABalaa,29,6960,-18040,398,398,6960,26.0,578,238,50,519056
ABalaa:30,ABalaa,30,6948,-18052,429,429,6948,26.0,578,228,54,651769
ABalaa:31,ABalaa,31,6965,-18035,474,474,6965,22.0,580,236,58,822795
ABalaa:32,ABalaa,32,7107,-17893,582,582,7107,21.0,590,254,58,980749
ABalaa:33,ABalaa,33,6887,-18113,386,386,6887,22.0,586,252,58,1031838
ABalaa:34,ABalaa,34,6934,-18066,375,375,6934,22.0,588,252,58,1116623
ABalaa:35,ABalaa,35,6776,-18224,214,214,6776,23.0,586,254,58,1171307
ABalaa:36,ABalaa,36,6960,-18040,328,328,6960,24.0,574,236,58,1116286
ABalaa:37,ABalaa,37,6862,-18138,220,220,6862,26.0,570,232,58,1148597
ABalaa:38,ABalaa,38,7012,-17988,361,361,7012,26.0,568,222,58,1260869
ABalaa:39,ABalaa,39,7031,-17969,361,361,7031,25.0,574,240,58,1244088
ABalaa:40,ABalaa,40,6837,-18163,229,231,6837,23.0,578,242,62,1388211
ABalaa:41,ABalaa,41,6785,-18215,141,141,6785,24.0,580,254,58,1094513
ABalaa:42,ABalaa,42,6902,-18098,219,219,6902,23.0,582,248,58,1100540
ABalaa:43,ABalaa,43,7063,-17937,367,367,7063,24.0,580,252,58,1193411
ABalaa:44,ABalaa,44,6778,-18222,33,33,6778,22.0,574,254,58,1151747
ABalaa:45,ABalaa,45,6686,-18314,-97,-97,6686,22.0,562,252,50,619734
ABalaaa:46,ABalaaa,46,6515,-18485,-255,-253,6515,24.0,584,240,42,370128
ABalaaa:47,ABalaaa,47,6903,-18097,152,152,6903,24.0,598,262,46,477751
ABalaaa:48,ABalaaa,48,6846,-18154,130,130,6846,24.0,594,262,50,525799
ABalaaa:49,ABalaaa,49,6906,-18094,163,163,6906,24.0,604,272,50,562393
ABalaaa:50,ABalaaa,50,7016,-17984,156,156,7016,24.0,598,260,50,654370
ABalaaa:51,ABalaaa,51,7022,-17978,181,181,7022,24.0,596,252,50,705227
ABalaaa:52,ABalaaa,52,7085,-17915,204,204,7085,25.0,592,244,50,725435
ABalaaa:53,ABalaaa,53,7056,-17944,145,145,7056,25.0,596,248,50,773988
ABalaaa:54,ABalaaa,54,7071,-17929,39,39,7071,30.0,598,248,46,689609
ABalaaa:55,ABalaaa,55,7171,-17829,57,57,7171,27.0,590,236,50,839926
ABalaaa:56,ABalaaa,56,7326,-17674,129,134,7326,29.0,596,240,50,811750
