cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight,zraw
AB:1,AB,1,0,0,0,0,0,0,0,0,0,0,0
ABa:17,ABa,17,11735,-13265,504,504,11735,3.3,154,321,74,1474012,33
ABal:34,ABal,34,12157,-12843,656,656,12157,0.7,159,305,78,3404386,34
ABala:52,ABala,52,12526,-12474,802,802,12526,4.4,124,260,68,2382880,32.5
ABalaa:74,ABalaa,74,12078,-12922,155,154,12078,25.5,106,290,59,1503463,24
ABalaaa:104,ABalaaa,104,11984,-13016,-43,-43,11984,10.5,92,288,52,1332760,30.1
ABalaaaa:133,ABalaaaa,133,11480,-13520,-34,-34,11480,24,108,263,45,777411,24.6
ABalaaaal:172,ABalaaaal,172,11267,-13733,-40,-40,11267,10.3,123,308,40,791994,30.1
ABalaaaala:240,ABalaaaala,240,11228,-13772,-17,-9,11228,30.1,120,327,35,628292,22.2
ABalaaaalal:325,ABalaaaalal,325,0,0,0,0,0,0,0,0,0,0,0
ABalaaaalar:325,ABalaaaalar,325,0,0,0,0,0,0,0,0,0,0,0
ABalaaaalp:240,ABalaaaalp,240,11190,-13810,-95,-91,11190,34.4,161,356,35,580873,20.4
ABalaaaalpa:370,ABalaaaalpa,370,0,0,0,0,0,0,0,0,0,0,0
ABalaaaalpp:370,ABalaaaalpp,370,0,0,0,0,0,0,0,0,0,0,0
ABalaaaar:172,ABalaaaar,172,11301,-13699,-3,0,11301,17,89,264,39,844426,27.4
ABalaaaarl:240,ABalaaaarl,240,11237,-13763,-45,-37,11237,21.9,99,286,34,566404,25.5
ABalaaaarla:315,ABalaaaarla,315,0,0,0,0,0,0,0,0,0,0,0
ABalaaaarlp:315,ABalaaaarlp,315,0,0,0,0,0,0,0,0,0,0,0
ABalaaaarr:240,ABalaaaarr,240,11285,-13715,-2,14,11285,22.6,111,221,35,608065,25.2
ABalaaaarra:315,ABalaaaarra,315,0,0,0,0,0,0,0,0,0,0,0
ABalaaaarrp:315,ABalaaaarrp,315,0,0,0,0,0,0,0,0,0,0,0
ABalaaap:133,ABalaaap,133,11540,-13460,-80,-83,11540,15,139,229,46,742270,28.3
ABalaaapa:172,ABalaaapa,172,11335,-13665,-3,2,11335,-2.6,105,239,39,768648,35.3
ABalaaapal:230,ABalaaapal,230,11277,-13723,15,19,11277,10.4,104,325,37,751873,30.1
ABalaaapall:285,ABalaaapall,285,0,0,0,0,0,0,0,0,0,0,0
ABalaaapalr:285,ABalaaapalr,285,0,0,0,0,0,0,0,0,0,0,0
ABalaaapar:230,ABalaaapar,230,11053,-13437,-9,16,11053,0.2,90,274,34,611712,34.2
ABalaaaparl:295,ABalaaaparl,295,0,0,0,0,0,0,0,0,0,0,0
ABalaaaparr:295,ABalaaaparr,295,0,0,0,0,0,0,0,0,0,0,0
ABalaaapp:172,ABalaaapp,172,11284,-13716,-70,-70,11284,-2,147,206,38,720862,35.1
ABalaaappl:230,ABalaaappl,230,11339,-13661,50,58,11339,-1,101,230,32,507671,34.7
ABalaaappll:295,ABalaaappll,295,0,0,0,0,0,0,0,0,0,0,0
ABalaaapplr:295,ABalaaapplr,295,0,0,0,0,0,0,0,0,0,0,0
ABalaaappr:230,ABalaaappr,230,11300,-13700,21,30,11300,12.8,122,182,37,705892,29.1
ABalaaapprl:285,ABalaaapprl,285,0,0,0,0,0,0,0,0,0,0,0
ABalaaapprr:285,ABalaaapprr,285,0,0,0,0,0,0,0,0,0,0,0
ABalaap:104,ABalaap,104,11878,-13122,-98,-83,11878,29.7,157,323,52,1035159,22.3
ABalaapa:133,ABalaapa,133,11415,-13585,-68,-69,11415,25.3,186,224,44,628324,24.1
ABalaapaa:172,ABalaapaa,172,11210,-13790,-71,-73,11210,23.4,137,176,38,724724,24.8
ABalaapaaa:240,ABalaapaaa,240,11238,-13762,6,12,11238,39.2,138,175,32,478129,18.4
ABalaapaaal:325,ABalaapaaal,325,0,0,0,0,0,0,0,0,0,0,0
ABalaapaaar:325,ABalaapaaar,325,0,0,0,0,0,0,0,0,0,0,0
ABalaapaap:240,ABalaapaap,240,11176,-13824,-24,-18,11176,50.6,188,151,33,451953,13.8
ABalaapaapa:320,ABalaapaapa,320,0,0,0,0,0,0,0,0,0,0,0
ABalaapaapp:320,ABalaapaapp,320,0,0,0,0,0,0,0,0,0,0,0
ABalaapap:172,ABalaapap,172,11236,-13764,-76,-75,11236,20.7,176,152,38,726853,25.9
ABalaapapa:240,ABalaapapa,240,10570,-12867,32,46,10570,42,197,131,31,428466,17.3
ABalaapapp:240,ABalaapapp,240,11244,-13756,-34,-28,11244,28.1,214,110,35,565042,22.9
ABalaapappa:295,ABalaapappa,295,0,0,0,0,0,0,0,0,0,0,0
ABalaapappp:295,ABalaapappp,295,0,0,0,0,0,0,0,0,0,0,0
ABalaapp:133,ABalaapp,133,11425,-13575,-87,-87,11425,22.5,251,234,45,469633,25.2
ABalaappa:172,ABalaappa,172,11305,-13695,-37,-32,11305,3.3,176,174,39,773240,33
ABalaappaa:240,ABalaappaa,240,11329,-13671,33,23,11329,23.7,153,171,31,516252,24.7
ABalaappap:240,ABalaappap,240,11281,-13719,-61,-66,11281,18.3,178,163,33,553715,26.9
ABalaappapa:295,ABalaappapa,295,0,0,0,0,0,0,0,0,0,0,0
ABalaappapp:295,ABalaappapp,295,0,0,0,0,0,0,0,0,0,0,0
ABalaappp:172,ABalaappp,172,11308,-13692,-74,-74,11308,-12.4,207,182,40,784672,39.3
ABalaapppa:225,ABalaapppa,225,11279,-13721,-24,-24,11279,-2.5,138,169,37,767149,35.3
ABalaapppaa:315,ABalaapppaa,315,0,0,0,0,0,0,0,0,0,0,0
ABalaapppap:315,ABalaapppap,315,0,0,0,0,0,0,0,0,0,0,0
ABalaapppp:225,ABalaapppp,225,11285,-13715,-35,-38,11285,-12.6,170,164,37,778059,39.4
ABalaappppa:290,ABalaappppa,290,0,0,0,0,0,0,0,0,0,0,0
ABalaappppaa:410,ABalaappppaa,410,0,0,0,0,0,0,0,0,0,0,0
ABalaappppap:410,ABalaappppap,410,0,0,0,0,0,0,0,0,0,0,0
ABalaappppp:290,ABalaappppp,290,0,0,0,0,0,0,0,0,0,0,0
ABalap:74,ABalap,74,12340,-12660,226,224,12340,-16.2,145,232,60,2268502,40.9
ABalapa:104,ABalapa,104,12204,-12796,4,4,12204,-14.1,136,221,53,1533614,40
